symbol,session_date,bars,first_bar,last_bar,open,close,volume,valid_for_scanner
IWM,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,299.85,299.95,11680932.0,True
JPM,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,354.07,351.64,3689845.0,True
META,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,547.56,549.91,7484969.0,True
MRVL,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,252.39,237.13,15972998.0,True
MSTR,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,119.63,119.24,27614507.0,True
MU,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,989.55,966.72,13085225.0,True
NVDA,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,218.45,214.76,59086729.0,True
PLTR,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,174.29,179.94,24134677.0,True
QQQ,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,715.22,713.41,19183788.0,True
SMCI,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,37.12,37.24,26830692.0,True
SPY,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,766.04,765.64,23585541.0,True
TSLA,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,349.77,362.88,46147629.0,True
TSM,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,423.02,418.95,4505432.0,True
AAPL,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,311.53,312.0,9059631.0,True
AMD,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,468.14,460.71,4726764.0,True
AMZN,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,259.61,262.67,9401454.0,True
ARM,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,236.34,239.2,1036213.0,True
AVGO,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,364.75,362.44,4795679.0,True
COIN,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,188.98,185.54,4429231.0,True
GOOGL,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,343.74,351.11,9021620.0,True
IWM,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,299.54,298.38,4423521.0,True
JPM,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,353.3,356.73,1198237.0,True
META,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,549.92,555.36,4205495.0,True
MRVL,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,229.56,229.45,6700855.0,True
MSTR,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,121.84,125.11,18126880.0,True
MU,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,934.99,918.62,12059035.0,True
NVDA,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,215.51,210.73,42357814.0,True
PLTR,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,177.68,177.56,10287012.0,True
QQQ,2026-08-24,13,2026-08-24 09:30:00-04:00,2026-08-24 12:30:00-04:00,709.6,708.98,13662180.0,True
